source;target;weight
Edwards, Scott V;Fang, Bohao;3
Chang, Xian;Paten, Benedict;9
Eizenga, Jordan;Paten, Benedict;4
Paten, Benedict;Sirén, Jouni;12
Monlong, Jean;Paten, Benedict;12
Negi, Shloka;Paten, Benedict;3
Andreace, Francesco;Paten, Benedict;2
Nag, Sagorika;Paten, Benedict;2
Kyriakidis, Konstantinos;Paten, Benedict;2
Hickey, Glenn;Paten, Benedict;18
Hwang, Stephen;Paten, Benedict;2
Carroll, Andrew;Paten, Benedict;10
Paten, Benedict;Shafin, Kishwar;7
Chang, Pi-Chuan;Paten, Benedict;10
Okamoto, Faith;Paten, Benedict;2
Chang, Xian;Eizenga, Jordan;2
Chang, Xian;Sirén, Jouni;7
Chang, Xian;Monlong, Jean;6
Chang, Xian;Negi, Shloka;2
Andreace, Francesco;Chang, Xian;2
Chang, Xian;Nag, Sagorika;2
Chang, Xian;Kyriakidis, Konstantinos;2
Chang, Xian;Hickey, Glenn;7
Chang, Xian;Hwang, Stephen;2
Carroll, Andrew;Chang, Xian;5
Chang, Xian;Shafin, Kishwar;2
Chang, Pi-Chuan;Chang, Xian;5
Chang, Xian;Okamoto, Faith;2
Eizenga, Jordan;Sirén, Jouni;2
Eizenga, Jordan;Monlong, Jean;3
Eizenga, Jordan;Hickey, Glenn;3
Carroll, Andrew;Eizenga, Jordan;2
Chang, Pi-Chuan;Eizenga, Jordan;2
Monlong, Jean;Sirén, Jouni;7
Negi, Shloka;Sirén, Jouni;2
Andreace, Francesco;Sirén, Jouni;2
Nag, Sagorika;Sirén, Jouni;2
Kyriakidis, Konstantinos;Sirén, Jouni;2
Hickey, Glenn;Sirén, Jouni;9
Hwang, Stephen;Sirén, Jouni;2
Carroll, Andrew;Sirén, Jouni;7
Shafin, Kishwar;Sirén, Jouni;4
Chang, Pi-Chuan;Sirén, Jouni;7
Okamoto, Faith;Sirén, Jouni;2
Monlong, Jean;Negi, Shloka;3
Andreace, Francesco;Monlong, Jean;2
Monlong, Jean;Nag, Sagorika;2
Kyriakidis, Konstantinos;Monlong, Jean;2
Hickey, Glenn;Monlong, Jean;10
Hwang, Stephen;Monlong, Jean;2
Carroll, Andrew;Monlong, Jean;6
