id;country
Fang, Yuan;China
Liu, George E;United States
Fang, Bohao;United States
Edwards, Scott V;United States
Paten, Benedict;Unknown
Chang, Xian;Unknown
Eizenga, Jordan;Unknown
Sirén, Jouni;Unknown
Monlong, Jean;Unknown
Negi, Shloka;Unknown
Andreace, Francesco;Unknown
Nag, Sagorika;Unknown
Kyriakidis, Konstantinos;Unknown
Hickey, Glenn;Unknown
Hwang, Stephen;Unknown
Carroll, Andrew;Unknown
Shafin, Kishwar;Unknown
Chang, Pi-Chuan;Unknown
Okamoto, Faith;Unknown
Li, Heng;Unknown
Zakeri, Mohsen;Unknown
Brown, Nathaniel K;Unknown
Gagie, Travis;Unknown
Langmead, Ben;Unknown
Lee, Jung-Sook;Korea, Democratic People's Republic of
Miswan, Noorizan;Malaysia
Lau, Nyok-Sean;Malaysia
Yang, Zuyu;New Zealand
Zeng, Qingchao;China
Li, Yan;China
Wang, Qi;China
Meng, Chuang;China
Ji, Feng;China
Zhou, Bin;China
Baraúna, Rafael Azevedo;Brazil
Silva, Artur;Brazil
Avni, Raz;Germany
Kamal, Nadia;Germany
Bitz, Lidija;Finland
Jellen, Eric N;United States
Bekele, Wubishet A;Canada
Angessa, Tefera T;Australia
Auvinen, Petri;Finland
Bitz, Oliver;Finland
Boyle, Brian;Canada
Canales, Francisco J;Spain
Carlson, Craig H;United States
Chapman, Brett;Australia
Chawla, Harmeet Singh;Canada
Chen, Yutang;Switzerland
Copetti, Dario;United States
Correia de Lemos, Samara;Germany
Dang, Viet;Australia
Eichten, Steven R;United States
Klos, Kathy Esvelt;United States
Fenn, Amit M;Germany
Fiebig, Anne;Germany
Fu, Yong-Bi;Canada
Gundlach, Heidrun;Germany
Gupta, Rajeev;United States
Haberer, Georg;Germany
He, Tianhua;Australia
Herrmann, Matthias H;Germany
Himmelbach, Axel;Germany
Howarth, Catherine J;United Kingdom
Hu, Haifei;Australia
Isidro Y Sánchez, Julio;Spain
Itaya, Asuka;Canada
Jannink, Jean-Luc;United States
Jia, Yong;Australia
Kaur, Rajvinder;Canada
Knauft, Manuela;Germany
Langdon, Tim;United Kingdom
Lux, Thomas;Germany
Marmon, Sofia;Sweden
Marosi, Vanda;Germany
Mayer, Klaus F X;Germany
Michel, Steve;United States
Nandety, Raja Sekhar;United States
Nilsen, Kirby T;Canada
Paczos-Grzęda, Edyta;Poland
Pasha, Asher;Canada
Prats, Elena;Spain
Provart, Nicholas J;Canada
Ravagnani, Adriana;United Kingdom
Reid, Robert W;United States
Schlueter, Jessica A;United States
Schulman, Alan H;Finland
Sen, Taner Z;United States
Singh, Jaswinder;Canada
Singh, Mehtab;Canada
Sirijovski, Nick;Sweden
Stein, Nils;Germany
Studer, Bruno;Switzerland
Viitala, Sirja;Finland
Vronces, Shauna;Canada
Walkowiak, Sean;Canada
Wang, Penghao;Australia
Waters, Amanda J;United States
Wight, Charlene P;Canada
Yan, Weikai;Canada
