source;target;weight
Edwards Scott V;Fang Bohao;3
Chang Xian;Paten Benedict;9
Eizenga Jordan;Paten Benedict;4
Paten Benedict;Sirén Jouni;12
Monlong Jean;Paten Benedict;12
Negi Shloka;Paten Benedict;3
Hickey Glenn;Paten Benedict;18
Carroll Andrew;Paten Benedict;10
Paten Benedict;Shafin Kishwar;7
Chang Pi-Chuan;Paten Benedict;10
Chang Xian;Sirén Jouni;7
Chang Xian;Monlong Jean;6
Chang Xian;Hickey Glenn;7
Carroll Andrew;Chang Xian;5
Chang Pi-Chuan;Chang Xian;5
Eizenga Jordan;Monlong Jean;3
Eizenga Jordan;Hickey Glenn;3
Monlong Jean;Sirén Jouni;7
Hickey Glenn;Sirén Jouni;9
Carroll Andrew;Sirén Jouni;7
Shafin Kishwar;Sirén Jouni;4
Chang Pi-Chuan;Sirén Jouni;7
Monlong Jean;Negi Shloka;3
Hickey Glenn;Monlong Jean;10
Carroll Andrew;Monlong Jean;6
Monlong Jean;Shafin Kishwar;3
Chang Pi-Chuan;Monlong Jean;6
Carroll Andrew;Hickey Glenn;7
Hickey Glenn;Shafin Kishwar;4
Chang Pi-Chuan;Hickey Glenn;7
Carroll Andrew;Shafin Kishwar;6
Carroll Andrew;Chang Pi-Chuan;10
Chang Pi-Chuan;Shafin Kishwar;6
Brown Nathaniel K;Zakeri Mohsen;3
Gagie Travis;Zakeri Mohsen;3
Langmead Ben;Zakeri Mohsen;5
Brown Nathaniel K;Gagie Travis;3
Brown Nathaniel K;Langmead Ben;6
Gagie Travis;Langmead Ben;6
Ji Feng;Meng Chuang;3
Meng Chuang;Zhou Bin;3
Ji Feng;Zhou Bin;3
Baraúna Rafael Azevedo;Silva Artur;3
Angessa Tefera T;Kamal Nadia;3
Chapman Brett;Kamal Nadia;4
Dang Viet;Kamal Nadia;3
Fiebig Anne;Kamal Nadia;5
Gundlach Heidrun;Kamal Nadia;6
Haberer Georg;Kamal Nadia;7
Himmelbach Axel;Kamal Nadia;5
Hu Haifei;Kamal Nadia;3
Jia Yong;Kamal Nadia;3
Kamal Nadia;Knauft Manuela;3
Kamal Nadia;Lux Thomas;6
Kamal Nadia;Mayer Klaus F X;7
